message,rpid_str,parent,ctime,like,mid,sex
俄使出了艾斯美顿求，但对方不是傅作义,172102179136,0,1687908628,0,33347701,保密
看着老了十岁不止,132240633040,0,1664767953,52,1171981826,保密
经历了大风大浪都会这样，小泽也40多了。上过战场的士兵意志不强的大都会出现精神问题,166897352192,132240633040,1685012827,0,523976311,男
小泽被西方骗的是一愣一愣的，已经是把自己当做拯救国家的乱世英雄了，并且还想兼具勇敢，誓死捍卫国家的信仰。蠢的不要不要的,131337512672,0,1664098477,6,412202502,男
就你最聪明[脱单doge],131495415680,131337512672,1664209165,128,185449995,保密
哈哈 欧洲竟然给了400亿欧元的无偿拨款 真是太蠢辣😄,131544116976,131337512672,1664261002,148,6909916,男
确实，还是汪兆铭最聪明,131566714048,131337512672,1664276080,160,22800318,保密
难不成要曲线救国？,132450996288,131337512672,1664893683,31,186536901,保密
你要不再回头看看自己说了什么？,132646346880,131337512672,1665034394,21,11918685,保密
你看看你在说什么,132782318768,131337512672,1665125192,9,535088718,男
你这智商基本告别正常生活了,132858999280,131337512672,1665168063,23,57270892,保密
回复 @坂田之银 :基本告别正常社交了,137297288672,132858999280,1668262159,3,589856160,保密
